Question,file name,,
1,19085,CD,Legend:
2,21457,CD,
3,21821,CD,CD=Clinical diagnosis by board-certified physician (all nevi)
4,23559,CD,h=histopathology (=all melanomas)
5,896,h,
6,132357,CD,
7,2827,h,
8,151560-h,CD,
9,156136,CD,
10,159033,CD,
11,162029,CD,
12,163067,CD,
13,165021,CD,
14,170216,CD,
15,174267,CD,
16,16175,h,
17,194942,CD,
18,194946,CD,
19,202700-h,CD,
20,136733,h,
21,223638,CD,
22,232221,CD,
23,254043,CD,
24,255780,CD,
25,256908-h,CD,
26,154372,h,
27,189827,h,
28,315917,CD,
29,321466,CD,
30,323418,CD,
31,324813-h,CD,
32,394602,CD,
33,411966,CD,
34,200823,h,
35,412184,CD,
36,415295,CD,
37,415879,CD,
38,416266-h,CD,
39,433215,CD,
40,457838,CD,
41,204176-h,h,
42,458192,CD,
43,497621,CD,
44,226555,h,
45,499701,CD,
46,231682,h,
47,515125,CD,
48,587862-h,CD,
49,1697738,CD,
50,2055339,CD,
51,236042-h,h,
52,2084031,CD,
53,2085285,CD,
54,2085287,CD,
55,2097673,CD,
56,2098348,CD,
57,2104146,CD,
58,236936,h,
59,2111038,CD,
60,2138627,CD,
61,2159198,CD,
62,2160810,CD,
63,252641,h,
64,2246055,CD,
65,2162992-h,CD,
66,2162995,CD,
67,2166853,CD,
68,257160-h,h,
69,2167180,CD,
70,2168356-h,CD,
71,2168363,CD,
72,258242,h,
73,2168366-h,CD,
74,2168397,CD,
75,2191579,CD,
76,2191631,CD,
77,2191634,CD,
78,2191673,CD,
79,2191699-h,CD,
80,2191726,CD,
81,258765,h,
82,2192103,CD,
83,2192661-h,CD,
84,2195219-h,CD,
85,2197027,CD,
86,2197584,CD,
87,268766,h,
88,2197588,CD,
89,2197724,CD,
90,2197727,CD,
91,2199594,CD,
92,269965,h,
93,2202309-h,CD,
94,294186,h,
95,2203331-h,CD,
96,2203387,CD,
97,2206231,CD,
98,307150,h,
99,2207655,CD,
100,2209992-h,CD,
