Question,file name,ground truth,
1,11392,siec,Legend:
2,271,siec,siec=single expert consensus
3,37,siec,h=histopathology
4,9564,siec,
5,299,h,
6,9994,siec,
7,547,h,
8,9881,h,
9,10018,h,
10,254,siec,
11,10374,h,
12,9879,h,
13,9946,siec,
14,9902,siec,
15,10193,siec,
16,149,h,
17,10187,siec,
18,9982,h,
19,10377,h,
20,484,h,
21,3,siec,
22,228,siec,
23,10494,h,
24,11333,h,
25,10584,siec ,
26,9927,h,
27,11176,h,
28,319,siec,
29,10047,siec,
30,126,siec,
31,10348,h,
32,212,siec,
33,527,siec,
34,393,h,
35,53,siec,
36,3728,siec,
37,9891,h,
38,9970,h,
39,328,siec,
40,10255,siec,
41,161,h,
42,197,siec,
43,10373,h,
44,302,h,
45,10041,siec,
46,10175,h,
47,501,siec,
48,354,siec,
49,188,siec,
50,10604,h,
51,10023,h,
52,9928,h,
53,10856,h,
54,92,siec,
55,2673,siec,
56,11081,h,
57,10254,siec,
58,311,h,
59,101,siec,
60,10607,h,
61,371,siec,
62,11090,h,
63,10207,h,
64,4115,siec,
65,9945,h,
66,11083,siec,
67,107,siec,
68,40,siec,
69,1427,siec,
70,9035,siec,
71,9954,siec,
72,487,h,
73,449,siec,
74,8626,siec,
75,10037,h,
76,10238,siec,
77,377,siec,
78,11148,h,
79,539,siec,
80,11129,h,
81,9959,h,
82,11227,h,
83,4346,siec,
84,125,siec,
85,11363,h,
86,479,siec,
87,289,h,
88,11224,siec,
89,11107,h,
90,10234,h,
91,1204,siec,
92,10034,h,
93,10216,h,
94,10597,h,
95,10201,h,
96,494,siec,
97,6193,siec,
98,518,h,
99,7322,siec,
100,117,siec,
